time,x,y,z
1782049078.66,-39780.234,-36908.746,-1.118
1782049078.66,-39780.234,-36908.746,-1.118
1782049078.76,-39780.223,-36908.742,-1.122
1782049078.87,-39780.211,-36908.734,-1.126
1782049078.97,-39780.211,-36908.727,-1.134
1782049079.07,-39780.211,-36908.719,-1.147
1782049079.17,-39780.211,-36908.719,-1.164
1782049079.28,-39780.203,-36908.719,-1.185
1782049079.38,-39780.203,-36908.719,-1.201
1782049079.48,-39780.191,-36908.719,-1.22
1782049079.58,-39780.191,-36908.719,-1.237
1782049079.68,-39780.191,-36908.719,-1.25
1782049079.79,-39780.191,-36908.719,-1.264
1782049079.89,-39780.191,-36908.719,-1.267
1782049079.99,-39780.191,-36908.719,-1.268
1782049080.09,-39780.191,-36908.719,-1.266
1782049080.2,-39780.191,-36908.719,-1.266
1782049080.3,-39780.219,-36908.719,-1.261
1782049080.4,-39780.25,-36908.719,-1.258
1782049080.5,-39780.281,-36908.719,-1.255
1782049080.61,-39780.312,-36908.719,-1.255
1782049080.71,-39780.348,-36908.715,-1.257
1782049080.81,-39780.375,-36908.715,-1.259
1782049080.92,-39780.406,-36908.715,-1.257
1782049081.02,-39780.434,-36908.715,-1.253
1782049081.12,-39780.434,-36908.715,-1.25
1782049081.22,-39780.434,-36908.715,-1.247
1782049081.33,-39780.434,-36908.715,-1.246
1782049081.43,-39780.434,-36908.715,-1.246
1782049081.53,-39780.434,-36908.715,-1.246
1782049081.63,-39780.434,-36908.73,-1.248
1782049081.74,-39780.434,-36908.738,-1.253
1782049081.84,-39780.434,-36908.742,-1.259
1782049081.94,-39780.434,-36908.75,-1.264
1782049082.05,-39780.434,-36908.766,-1.268
1782049082.15,-39780.434,-36908.77,-1.272
1782049082.25,-39780.438,-36908.773,-1.278
1782049082.35,-39780.438,-36908.773,-1.282
1782049082.46,-39780.438,-36908.777,-1.286
1782049082.56,-39780.438,-36908.789,-1.287
1782049082.66,-39780.438,-36908.789,-1.289
1782049082.77,-39780.434,-36908.789,-1.29
1782049082.87,-39780.43,-36908.789,-1.29
1782049082.97,-39780.406,-36908.797,-1.289
1782049083.07,-39780.375,-36908.809,-1.29
1782049083.17,-39780.344,-36908.828,-1.291
1782049083.28,-39780.309,-36908.832,-1.289
1782049083.38,-39780.277,-36908.848,-1.284
1782049083.48,-39780.25,-36908.848,-1.277
1782049083.58,-39780.238,-36908.848,-1.255
1782049083.69,-39780.238,-36908.848,-1.255
1782049083.79,-39780.223,-36908.848,-1.236
1782049083.89,-39780.223,-36908.848,-1.228
1782049083.99,-39780.223,-36908.848,-1.22
1782049084.1,-39780.223,-36908.848,-1.214
1782049084.2,-39780.223,-36908.848,-1.207
1782049084.31,-39780.223,-36908.832,-1.202
1782049084.41,-39780.223,-36908.805,-1.197
1782049084.51,-39780.223,-36908.773,-1.19
1782049084.61,-39780.223,-36908.742,-1.185
1782049084.72,-39780.223,-36908.707,-1.184
1782049084.82,-39780.223,-36908.68,-1.187
1782049084.92,-39780.223,-36908.648,-1.193
1782049085.02,-39780.223,-36908.617,-1.199
1782049085.12,-39780.223,-36908.586,-1.202
1782049085.23,-39780.219,-36908.551,-1.204
1782049085.33,-39780.219,-36908.52,-1.205
1782049085.43,-39780.219,-36908.492,-1.205
1782049085.53,-39780.219,-36908.461,-1.205
1782049085.63,-39780.219,-36908.43,-1.206
1782049085.74,-39780.219,-36908.395,-1.205
1782049085.84,-39780.219,-36908.363,-1.204
1782049085.94,-39780.219,-36908.332,-1.203
1782049086.04,-39780.219,-36908.301,-1.201
1782049086.14,-39780.219,-36908.27,-1.2
1782049086.25,-39780.219,-36908.262,-1.199
1782049086.35,-39780.219,-36908.258,-1.2
1782049086.45,-39780.219,-36908.254,-1.202
1782049086.55,-39780.219,-36908.254,-1.206
1782049086.66,-39780.211,-36908.254,-1.209
1782049086.76,-39780.199,-36908.254,-1.213
1782049086.86,-39780.188,-36908.254,-1.215
1782049086.96,-39780.156,-36908.254,-1.217
1782049087.07,-39780.125,-36908.254,-1.22
1782049087.17,-39780.098,-36908.262,-1.224
1782049087.27,-39780.066,-36908.262,-1.233
1782049087.37,-39780.039,-36908.27,-1.239
1782049087.48,-39780.012,-36908.27,-1.245
1782049087.58,-39779.988,-36908.277,-1.25
1782049087.68,-39779.98,-36908.277,-1.255
1782049087.79,-39779.965,-36908.277,-1.264
1782049087.89,-39779.965,-36908.277,-1.266
1782049087.99,-39779.965,-36908.277,-1.266
1782049088.09,-39779.961,-36908.262,-1.266
1782049088.19,-39779.961,-36908.262,-1.266
1782049088.3,-39779.961,-36908.207,-1.27
1782049088.4,-39779.961,-36908.176,-1.27
1782049088.5,-39779.961,-36908.145,-1.269
1782049088.6,-39779.961,-36908.117,-1.268
1782049088.71,-39779.961,-36908.086,-1.266
1782049088.81,-39779.961,-36908.062,-1.265
1782049088.91,-39779.961,-36908.039,-1.265
1782049089.01,-39779.949,-36908.012,-1.265
1782049089.12,-39779.918,-36907.988,-1.264
1782049089.22,-39779.883,-36907.953,-1.263
1782049089.32,-39779.855,-36907.926,-1.262
1782049089.42,-39779.82,-36907.895,-1.263
1782049089.53,-39779.789,-36907.863,-1.263
1782049089.63,-39779.758,-36907.832,-1.262
1782049089.73,-39779.723,-36907.797,-1.259
1782049089.84,-39779.695,-36907.77,-1.257
1782049089.94,-39779.664,-36907.738,-1.255
1782049090.04,-39779.645,-36907.707,-1.254
1782049090.14,-39779.633,-36907.676,-1.254
1782049090.24,-39779.629,-36907.641,-1.253
1782049090.35,-39779.629,-36907.609,-1.254
1782049090.45,-39779.629,-36907.602,-1.255
1782049090.55,-39779.629,-36907.59,-1.256
1782049090.65,-39779.629,-36907.59,-1.255
1782049090.76,-39779.629,-36907.578,-1.253
1782049090.86,-39779.629,-36907.566,-1.251
1782049090.96,-39779.629,-36907.562,-1.249
1782049091.07,-39779.629,-36907.562,-1.251
1782049091.17,-39779.629,-36907.562,-1.255
1782049091.27,-39779.629,-36907.562,-1.26
1782049091.37,-39779.629,-36907.562,-1.263
1782049091.47,-39779.629,-36907.562,-1.264
1782049091.58,-39779.629,-36907.562,-1.264
1782049091.68,-39779.633,-36907.539,-1.262
1782049091.79,-39779.633,-36907.477,-1.256
1782049091.89,-39779.633,-36907.445,-1.256
1782049091.99,-39779.633,-36907.414,-1.257
1782049092.09,-39779.633,-36907.383,-1.257
1782049092.19,-39779.633,-36907.348,-1.257
1782049092.3,-39779.633,-36907.332,-1.257
1782049092.4,-39779.633,-36907.309,-1.259
1782049092.5,-39779.645,-36907.277,-1.262
1782049092.6,-39779.645,-36907.246,-1.266
1782049092.71,-39779.652,-36907.219,-1.268
1782049092.81,-39779.652,-36907.195,-1.267
1782049092.91,-39779.652,-36907.16,-1.266
1782049093.02,-39779.652,-36907.129,-1.265
1782049093.12,-39779.641,-36907.102,-1.267
1782049093.22,-39779.609,-36907.078,-1.27
1782049093.32,-39779.582,-36907.059,-1.271
1782049093.32,-39779.582,-36907.059,-1.271
1782049093.43,-39779.551,-36907.027,-1.27
1782049093.53,-39779.516,-36906.992,-1.269
1782049093.63,-39779.484,-36906.961,-1.268
1782049093.74,-39779.473,-36906.926,-1.266
1782049093.84,-39779.473,-36906.898,-1.261
1782049093.94,-39779.473,-36906.887,-1.255
1782049094.04,-39779.473,-36906.871,-1.25
1782049094.14,-39779.473,-36906.867,-1.249
1782049094.25,-39779.473,-36906.867,-1.252
1782049094.35,-39779.473,-36906.863,-1.256
1782049094.45,-39779.473,-36906.848,-1.259
1782049094.55,-39779.473,-36906.832,-1.26
1782049094.65,-39779.473,-36906.828,-1.261
1782049094.76,-39779.469,-36906.824,-1.26
1782049094.86,-39779.453,-36906.824,-1.26
1782049094.96,-39779.422,-36906.824,-1.261
1782049095.06,-39779.391,-36906.824,-1.265
1782049095.16,-39779.371,-36906.824,-1.271
1782049095.27,-39779.371,-36906.824,-1.278
1782049095.37,-39779.371,-36906.824,-1.283
1782049095.47,-39779.371,-36906.824,-1.287
1782049095.57,-39779.352,-36906.824,-1.288
1782049095.68,-39779.352,-36906.824,-1.285
1782049095.78,-39779.324,-36906.824,-1.285
1782049095.88,-39779.297,-36906.824,-1.286
1782049095.98,-39779.262,-36906.824,-1.284
1782049096.09,-39779.262,-36906.824,-1.281
1782049096.19,-39779.262,-36906.824,-1.281
1782049096.29,-39779.262,-36906.824,-1.268
